,Compound_Name,WHONDRS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
82,ConcHC,SW_pH,-0.08752923677593342,-0.04766297441885327,0.5291098973465324,0.7321634616688408
83,Lignin,SW_pH,0.3063183640234917,0.3166949434147112,0.024274573612558206,0.019638902183301426
84,Lipid,SW_pH,0.31350594784782015,0.37080050710270607,0.020976103735896343,0.005776484205361546
85,Other,SW_pH,0.1613197616321763,0.10545436245167654,0.24387048459994504,0.4479031308374857
86,Protein,SW_pH,0.32512750802761253,0.42202745741517494,0.016446323966386504,0.0014798321286704857
87,Tannin,SW_pH,-0.19968621065481731,-0.1430950246776472,0.1477070122606326,0.3019555740812457
88,UnsatHC,SW_pH,0.11678570116116571,0.10228533635463316,0.4003487538727442,0.4617387745557151
89,SumAllCompounds,SW_pH,0.18432019122403953,0.1957000445225751,0.18212435655402276,0.156132116742813
90,AminoSugar,DO_perc.sat,0.048221593780144074,-0.009171514041914878,0.8112227068775163,0.9637866010029534
91,Carb,DO_perc.sat,-0.07779095314048742,-0.1962076487765128,0.6997395192278749,0.3266617274564738
92,ConcHC,DO_perc.sat,-0.16670218682288965,-0.2877214550825772,0.40593943235231433,0.14559151159145559
93,Lignin,DO_perc.sat,-0.0636107286177497,-0.14322797540618457,0.7526021246081291,0.47602782172420377
94,Lipid,DO_perc.sat,0.044893881754509306,-0.08632546445670454,0.8240422311148627,0.6685522696693671
95,Other,DO_perc.sat,-0.1853839408859186,-0.0786891182050893,0.35456989036807407,0.6964338680184179
96,Protein,DO_perc.sat,0.025987507621133832,-0.07268285319119815,0.8976213207565573,0.7186397255862049
97,Tannin,DO_perc.sat,-0.12586444068268016,-0.30198473282442745,0.5316039068791969,0.12579304925157409
98,UnsatHC,DO_perc.sat,-0.210225722696525,-0.18543141077422248,0.2925726412438864,0.35444449570737147
99,SumAllCompounds,DO_perc.sat,-0.08478781909792386,-0.15722790596859995,0.6741335078469387,0.4335028227554587
100,AminoSugar,DO_mg.per.L,-0.03803723793762252,-0.048949333610725544,0.863194529486225,0.8244742989934855
101,Carb,DO_mg.per.L,-0.11961612364600666,-0.16790541829365618,0.586698782553825,0.4437943857087533
102,ConcHC,DO_mg.per.L,-0.17707747347655772,-0.22843022351671918,0.41892216662520376,0.29447193910066216
103,Lignin,DO_mg.per.L,-0.2204117930823001,-0.26637015886078147,0.3122039605424086,0.21923190494266775
104,Lipid,DO_mg.per.L,-0.05416489894971177,-0.18505710640879316,0.8061007780245236,0.39791720091583327
105,Other,DO_mg.per.L,-0.2692402772552848,-0.29246539025035395,0.21411821589985636,0.1756641243126616
106,Protein,DO_mg.per.L,-0.05898690675310152,-0.10872251382072715,0.789201247364987,0.6214435508074083
107,Tannin,DO_mg.per.L,-0.14914071162445444,-0.2713120913071782,0.49702347821554027,0.2104767921184002
108,UnsatHC,DO_mg.per.L,-0.27758094406450884,-0.36769240818706334,0.19971238508508823,0.08432653700724037
109,SumAllCompounds,DO_mg.per.L,-0.18315138515947105,-0.16996047430830039,0.4028793995988107,0.43815478677848074
110,AminoSugar,SW_Temp_degC,0.47255724783719766,0.541079212708853,0.0003530971375091792,2.8749189571655986e-05
111,Carb,SW_Temp_degC,0.3982542169851722,0.5641426778539593,0.0031425433313664306,1.0860707682039776e-05
112,ConcHC,SW_Temp_degC,0.30182770249150764,0.2740341965289672,0.028059882094479193,0.04707579462757267
113,Lignin,SW_Temp_degC,0.3953352535122676,0.41695229781953064,0.0033914512977160386,0.0018972519639878273
114,Lipid,SW_Temp_degC,0.3930092336496918,0.3900825608588954,0.0036021007883558437,0.0038834911516596104
115,Other,SW_Temp_degC,-0.09444563198916223,-0.05824793347923011,0.5011475533658196,0.6786604072551274
116,Protein,SW_Temp_degC,0.4364302190426333,0.47700465841238887,0.0010869960197250831,0.00030477387024725175
117,Tannin,SW_Temp_degC,0.24176819414226597,0.22768604321421224,0.08114064015527982,0.10107389073004179
118,UnsatHC,SW_Temp_degC,0.012316453863841656,-0.03975489621467437,0.930249986622422,0.7774601380305086
119,SumAllCompounds,SW_Temp_degC,0.4345905929654033,0.4437813797948047,0.0011473337508446089,0.0008732871487694565
