,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
65,Other,FertCat,-0.06954142403146997,-0.06954142403146997,0.6173065472153236,0.6173065472153236
66,Protein,FertCat,0.13298751403676204,0.13298751403676204,0.3377325678737028,0.3377325678737028
67,Tannin,FertCat,-0.204178126407766,-0.204178126407766,0.13862254589982737,0.13862254589982737
68,UnsatHC,FertCat,-0.28748582339266027,-0.28748582339266027,0.03504211420584134,0.03504211420584134
69,SumAllCompounds,FertCat,-0.04101975110888956,-0.04101975110888956,0.7683734386418372,0.7683734386418372
70,AminoSugar,ManureCat,0.012783579481645822,0.012783579481645822,0.9269003596078458,0.9269003596078458
71,Carb,ManureCat,-0.036734089656535344,-0.036734089656535344,0.7920018183817144,0.7920018183817144
72,ConcHC,ManureCat,-0.19836400178774252,-0.19836400178774252,0.1504633669069138,0.1504633669069138
73,Lignin,ManureCat,-0.005324103460569333,-0.005324103460569333,0.9695212034508383,0.9695212034508383
74,Lipid,ManureCat,0.14474099193858556,0.14474099193858556,0.29637046577338344,0.29637046577338344
75,Other,ManureCat,-0.0249840697163686,-0.0249840697163686,0.8576811921371966,0.8576811921371966
76,Protein,ManureCat,0.11323680091230207,0.11323680091230207,0.41491570155922725,0.41491570155922725
77,Tannin,ManureCat,-0.25605907362663377,-0.25605907362663377,0.06163605446913637,0.06163605446913637
78,UnsatHC,ManureCat,-0.19173480857837866,-0.19173480857837866,0.1648589364663265,0.1648589364663265
79,SumAllCompounds,ManureCat,-0.066729713284218,-0.066729713284218,0.6316382167087056,0.6316382167087056
80,AminoSugar,BFICat,-0.21752867563913753,-0.21752867563913753,0.11408718712696977,0.11408718712696977
81,Carb,BFICat,-0.2373142470616714,-0.2373142470616714,0.08401156116919689,0.08401156116919689
82,ConcHC,BFICat,-0.21840131441420646,-0.21840131441420646,0.11260734830549383,0.11260734830549383
83,Lignin,BFICat,-0.3607792521504759,-0.3607792521504759,0.007360920935596816,0.007360920935596816
84,Lipid,BFICat,-0.26053901659226036,-0.26053901659226036,0.05707052315570969,0.05707052315570969
85,Other,BFICat,-0.15489489699088282,-0.15489489699088282,0.2634078137639151,0.2634078137639151
86,Protein,BFICat,-0.2296934508771728,-0.2296934508771728,0.09475676551194598,0.09475676551194598
87,Tannin,BFICat,-0.18494397108960767,-0.18494397108960767,0.18062358962562325,0.18062358962562325
88,UnsatHC,BFICat,-0.08660844623003591,-0.08660844623003591,0.5334689409336719,0.5334689409336719
89,SumAllCompounds,BFICat,-0.3231716253368574,-0.3231716253368574,0.01714440465238024,0.01714440465238024
90,AminoSugar,CanalDensCat,-0.12347257051607188,-0.12347257051607188,0.3737267762661659,0.3737267762661659
91,Carb,CanalDensCat,-0.140017337656823,-0.140017337656823,0.3125800470144726,0.3125800470144726
92,ConcHC,CanalDensCat,-0.09259980847097718,-0.09259980847097718,0.505425263708988,0.505425263708988
93,Lignin,CanalDensCat,-0.20871631081304706,-0.20871631081304706,0.1298754922619098,0.1298754922619098
94,Lipid,CanalDensCat,-0.2277757261151266,-0.2277757261151266,0.09762222617338148,0.09762222617338148
