,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
542,ConcHC,PctImp2006Ws,0.11695690690332065,0.11695690690332065,0.3996536487948682,0.3996536487948682
543,Lignin,PctImp2006Ws,0.2503843772014544,0.2503843772014544,0.06783556684709854,0.06783556684709854
544,Lipid,PctImp2006Ws,0.4757302342912472,0.4757302342912472,0.00027726511349123476,0.00027726511349123476
545,Other,PctImp2006Ws,0.031008385873442408,0.031008385873442408,0.8238578262277751,0.8238578262277751
546,Protein,PctImp2006Ws,0.47275832450679894,0.47275832450679894,0.00030642993053817016,0.00030642993053817016
547,Tannin,PctImp2006Ws,0.0008884536356123646,0.0008884536356123646,0.9949127179114986,0.9949127179114986
548,UnsatHC,PctImp2006Ws,-0.10177200975439586,-0.10177200975439586,0.4640014989178031,0.4640014989178031
549,SumAllCompounds,PctImp2006Ws,0.28570720026791974,0.28570720026791974,0.03623716969518209,0.03623716969518209
550,AminoSugar,AgKffactWs,0.25181964965052545,0.25181964965052545,0.06622240722744324,0.06622240722744324
551,Carb,AgKffactWs,0.29045952288700333,0.29045952288700333,0.033117115257906574,0.033117115257906574
552,ConcHC,AgKffactWs,-0.1874787760658499,-0.1874787760658499,0.17461676005114168,0.17461676005114168
553,Lignin,AgKffactWs,0.18910017881152336,0.18910017881152336,0.17085117570715774,0.17085117570715774
554,Lipid,AgKffactWs,0.21770662636076868,0.21770662636076868,0.11378421464787664,0.11378421464787664
555,Other,AgKffactWs,0.07286950064288529,0.07286950064288529,0.6005242891949792,0.6005242891949792
556,Protein,AgKffactWs,0.3232527738535415,0.3232527738535415,0.017114947892687995,0.017114947892687995
557,Tannin,AgKffactWs,-0.2670650494280426,-0.2670650494280426,0.05091234844506791,0.05091234844506791
558,UnsatHC,AgKffactWs,-0.2440812205149916,-0.2440812205149916,0.07529487651951744,0.07529487651951744
559,SumAllCompounds,AgKffactWs,0.09350799623082207,0.09350799623082207,0.5012411304869588,0.5012411304869588
560,AminoSugar,KffactWs,0.2650226208152903,0.2650226208152903,0.05277865602664386,0.05277865602664386
561,Carb,KffactWs,0.20450783263193267,0.20450783263193267,0.13797259091731917,0.13797259091731917
562,ConcHC,KffactWs,-0.16045676830426442,-0.16045676830426442,0.2464356592095591,0.2464356592095591
563,Lignin,KffactWs,0.16309046038130154,0.16309046038130154,0.2386643949385534,0.2386643949385534
564,Lipid,KffactWs,0.2803555498397444,0.2803555498397444,0.04003789869480552,0.04003789869480552
565,Other,KffactWs,0.21586967011071861,0.21586967011071861,0.11694149132651713,0.11694149132651713
566,Protein,KffactWs,0.31565012121413083,0.31565012121413083,0.020068819723882268,0.020068819723882268
567,Tannin,KffactWs,-0.26540241841228857,-0.26540241841228857,0.05242747001567109,0.05242747001567109
568,UnsatHC,KffactWs,-0.12310173401880706,-0.12310173401880706,0.37517468240425444,0.37517468240425444
569,SumAllCompounds,KffactWs,0.08767764184552014,0.08767764184552014,0.5284089943334456,0.5284089943334456
570,AminoSugar,PctAlkIntruVolWs,-0.13474974569214573,-0.13474974569214573,0.33131191391688286,0.33131191391688286
571,Carb,PctAlkIntruVolWs,-0.10070123195613526,-0.10070123195613526,0.4687406775305379,0.4687406775305379
572,ConcHC,PctAlkIntruVolWs,-0.07585279036640924,-0.07585279036640924,0.5856532900428153,0.5856532900428153
573,Lignin,PctAlkIntruVolWs,-0.03233857375164005,-0.03233857375164005,0.8164298980772963,0.8164298980772963
574,Lipid,PctAlkIntruVolWs,-0.10562726377709264,-0.10562726377709264,0.4471549011372682,0.4471549011372682
575,Other,PctAlkIntruVolWs,-0.012560055568794692,-0.012560055568794692,0.9281751368265088,0.9281751368265088
576,Protein,PctAlkIntruVolWs,-0.11194603387367211,-0.11194603387367211,0.4202883007448288,0.4202883007448288
