,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
1428,UnsatHC,glc_pc_s15,-0.01816135669843937,-0.01816135669843937,0.8962926164011263,0.8962926164011263
1429,SumAllCompounds,glc_pc_s15,0.1633818370325001,0.1633818370325001,0.23781506060575583,0.23781506060575583
1430,AminoSugar,glc_pc_s16,0.2760688707747642,0.2760688707747642,0.04331388247086028,0.04331388247086028
1431,Carb,glc_pc_s16,0.3128976438934526,0.3128976438934526,0.0212397317666278,0.0212397317666278
1432,ConcHC,glc_pc_s16,-0.11348833542415951,-0.11348833542415951,0.41387333991031716,0.41387333991031716
1433,Lignin,glc_pc_s16,0.35602476828114904,0.35602476828114904,0.008236675818745575,0.008236675818745575
1434,Lipid,glc_pc_s16,0.3599782719359329,0.3599782719359329,0.007502515890223349,0.007502515890223349
1435,Other,glc_pc_s16,0.09183564470382616,0.09183564470382616,0.5089596417720058,0.5089596417720058
1436,Protein,glc_pc_s16,0.44810162874201837,0.44810162874201837,0.0006790480056657331,0.0006790480056657331
1437,Tannin,glc_pc_s16,-0.27627113976522977,-0.27627113976522977,0.04315451082741029,0.04315451082741029
1438,UnsatHC,glc_pc_s16,-0.105071747013502,-0.105071747013502,0.44956134999711944,0.44956134999711944
1439,SumAllCompounds,glc_pc_s16,0.21558649819705086,0.21558649819705086,0.1174340772616507,0.1174340772616507
1440,AminoSugar,glc_pc_s17,,,,
1441,Carb,glc_pc_s17,,,,
1442,ConcHC,glc_pc_s17,,,,
1443,Lignin,glc_pc_s17,,,,
1444,Lipid,glc_pc_s17,,,,
1445,Other,glc_pc_s17,,,,
1446,Protein,glc_pc_s17,,,,
1447,Tannin,glc_pc_s17,,,,
1448,UnsatHC,glc_pc_s17,,,,
1449,SumAllCompounds,glc_pc_s17,,,,
1450,AminoSugar,glc_pc_s18,0.09727399807675148,0.09727399807675148,0.48408264250100363,0.48408264250100363
1451,Carb,glc_pc_s18,0.0587193861679512,0.0587193861679512,0.6731963281820779,0.6731963281820779
1452,ConcHC,glc_pc_s18,0.2505501294024853,0.2505501294024853,0.06764768421293191,0.06764768421293191
1453,Lignin,glc_pc_s18,0.12071922884827921,0.12071922884827921,0.384557024984566,0.384557024984566
1454,Lipid,glc_pc_s18,-0.005923218082318436,-0.005923218082318436,0.9660933667307693,0.9660933667307693
1455,Other,glc_pc_s18,-0.01723346623249713,-0.01723346623249713,0.9015642936315575,0.9015642936315575
1456,Protein,glc_pc_s18,0.05407936398308576,0.05407936398308576,0.6977302119128364,0.6977302119128364
1457,Tannin,glc_pc_s18,0.21510590384415929,0.21510590384415929,0.1182737017612725,0.1182737017612725
1458,UnsatHC,glc_pc_s18,-0.01816135669843937,-0.01816135669843937,0.8962926164011263,0.8962926164011263
1459,SumAllCompounds,glc_pc_s18,0.1633818370325001,0.1633818370325001,0.23781506060575583,0.23781506060575583
1460,AminoSugar,glc_pc_s19,,,,
1461,Carb,glc_pc_s19,,,,
1462,ConcHC,glc_pc_s19,,,,
1463,Lignin,glc_pc_s19,,,,
1464,Lipid,glc_pc_s19,,,,
1465,Other,glc_pc_s19,,,,
1466,Protein,glc_pc_s19,,,,
1467,Tannin,glc_pc_s19,,,,
1468,UnsatHC,glc_pc_s19,,,,
1469,SumAllCompounds,glc_pc_s19,,,,
1470,AminoSugar,glc_pc_s20,-0.04473439513098484,-0.04473439513098484,0.7480601289004979,0.7480601289004979
1471,Carb,glc_pc_s20,-0.020787109042776624,-0.020787109042776624,0.8813995833440738,0.8813995833440738
1472,ConcHC,glc_pc_s20,0.15880381784277098,0.15880381784277098,0.2514000151515997,0.2514000151515997
1473,Lignin,glc_pc_s20,0.050187763597954856,0.050187763597954856,0.7185473350971319,0.7185473350971319
1474,Lipid,glc_pc_s20,-0.13040540774689025,-0.13040540774689025,0.3472795323763933,0.3472795323763933
1475,Other,glc_pc_s20,0.0071244679165809776,0.0071244679165809776,0.9592223051542645,0.9592223051542645
1476,Protein,glc_pc_s20,-0.04375507801288221,-0.04375507801288221,0.7533996376048575,0.7533996376048575
1477,Tannin,glc_pc_s20,0.10760977872229711,0.10760977872229711,0.4386250638498378,0.4386250638498378
1478,UnsatHC,glc_pc_s20,0.049581568398637754,0.049581568398637754,0.7218088104929912,0.7218088104929912
1479,SumAllCompounds,glc_pc_s20,0.05771195163112703,0.05771195163112703,0.6784955388151699,0.6784955388151699
1480,AminoSugar,glc_pc_s21,,,,
1481,Carb,glc_pc_s21,,,,
1482,ConcHC,glc_pc_s21,,,,
1483,Lignin,glc_pc_s21,,,,
1484,Lipid,glc_pc_s21,,,,
1485,Other,glc_pc_s21,,,,
1486,Protein,glc_pc_s21,,,,
1487,Tannin,glc_pc_s21,,,,
1488,UnsatHC,glc_pc_s21,,,,
1489,SumAllCompounds,glc_pc_s21,,,,
1490,AminoSugar,glc_pc_s22,0.11033128451135021,0.11033128451135021,0.42706494943038203,0.42706494943038203
1491,Carb,glc_pc_s22,0.02040893535301555,0.02040893535301555,0.8835421659200144,0.8835421659200144
1492,ConcHC,glc_pc_s22,-0.09332644924214588,-0.09332644924214588,0.5020761128570771,0.5020761128570771
1493,Lignin,glc_pc_s22,0.11383561180241097,0.11383561180241097,0.41243669832514684,0.41243669832514684
1494,Lipid,glc_pc_s22,0.16899997303353156,0.16899997303353156,0.22184289596454682,0.22184289596454682
1495,Other,glc_pc_s22,0.03605472983589909,0.03605472983589909,0.7957650650790102,0.7957650650790102
1496,Protein,glc_pc_s22,0.12654149046030172,0.12654149046030172,0.3618736637495399,0.3618736637495399
1497,Tannin,glc_pc_s22,-0.027026637030690217,-0.027026637030690217,0.846181623557826,0.846181623557826
1498,UnsatHC,glc_pc_s22,-0.1609412383899759,-0.1609412383899759,0.24499336223642482,0.24499336223642482
1499,SumAllCompounds,glc_pc_s22,0.06672809659027693,0.06672809659027693,0.6316464966771171,0.6316464966771171
1500,AminoSugar,glc_pc_u01,,,,
1501,Carb,glc_pc_u01,,,,
1502,ConcHC,glc_pc_u01,,,,
1503,Lignin,glc_pc_u01,,,,
1504,Lipid,glc_pc_u01,,,,
1505,Other,glc_pc_u01,,,,
1506,Protein,glc_pc_u01,,,,
1507,Tannin,glc_pc_u01,,,,
1508,UnsatHC,glc_pc_u01,,,,
1509,SumAllCompounds,glc_pc_u01,,,,
1510,AminoSugar,glc_pc_u02,0.24806302496685784,0.24806302496685784,0.070510885468228,0.070510885468228
1511,Carb,glc_pc_u02,0.25584799378788786,0.25584799378788786,0.06185820201954356,0.06185820201954356
1512,ConcHC,glc_pc_u02,0.17623784156847544,0.17623784156847544,0.2023870609541177,0.2023870609541177
1513,Lignin,glc_pc_u02,0.08411966913488894,0.08411966913488894,0.5453383401719284,0.5453383401719284
1514,Lipid,glc_pc_u02,0.13813773677627747,0.13813773677627747,0.3191847386840638,0.3191847386840638
1515,Other,glc_pc_u02,-0.03835485274257514,-0.03835485274257514,0.7830428907345136,0.7830428907345136
1516,Protein,glc_pc_u02,0.15480308473675505,0.15480308473675505,0.26369439146732643,0.26369439146732643
1517,Tannin,glc_pc_u02,0.17936953007561982,0.17936953007561982,0.19435460177396496,0.19435460177396496
1518,UnsatHC,glc_pc_u02,-0.13913512001566558,-0.13913512001566558,0.31566909144127,0.31566909144127
1519,SumAllCompounds,glc_pc_u02,0.16598540372317006,0.16598540372317006,0.23031786437740015,0.23031786437740015
1520,AminoSugar,glc_pc_u03,,,,
1521,Carb,glc_pc_u03,,,,
1522,ConcHC,glc_pc_u03,,,,
1523,Lignin,glc_pc_u03,,,,
1524,Lipid,glc_pc_u03,,,,
1525,Other,glc_pc_u03,,,,
1526,Protein,glc_pc_u03,,,,
1527,Tannin,glc_pc_u03,,,,
1528,UnsatHC,glc_pc_u03,,,,
